(cord#neutral)(battery life#positive),I charge it at night and skip taking the cord with me because of the good battery life.
(batteries#neutral)(shipping carton#neutral),"however, I may have inadvertently thrown out one of the batteries with the shipping carton."
,Love it so far.
(use#positive),It is so much easier to use
(program#positive),There is no need to open a program first and the cliick open or import.
,"In short, you could say your mac could become your best friend (no intention of replacing Rover your dog)."
,It was a bad experience but i played down its importance.
,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.
(virus protection#positive),It is so nice not to worry about that and the extra expense that comes along with the necessary virus protection on PC's.
,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me."
(screen#negative),"Three weeks after I bought the netbook, the screen quit working."
(processor#positive)(OSX 16#positive)(graphics#positive)(hardware#neutral)(software#neutral),"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software."
,I am currently out of town and called to inform them the broken part would be returned when I got back in town.
,Returned laptop for a 4th repair and it came back but now would lock up and randomly reboot frequently making the laptop unusable.
(Intel Core processors#neutral)(HDMI port#neutral),I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.
(Internet Explorer#conflict),"The Apple will run Internet Explorer, but at an amazingly slow rate."
(staff#negative),"With today's company fighting over marketshare, its a shame that ASUS can get away with the inept staff answering thephone."
,Other than that I don't have one complaint in the world!
,"  The computer is so slow, even after paying staples the extra money to speed it up."
,I feel that enough people have Macs these days and that companies need to start making things more compatable than they used to be.
(price premium#negative)(features#positive),"The price premium is a little much, but when you start looking at the features it is worth the added cash."
,*5 weeks after giving the computer for repair*-Apple offers to send replacement after they receive the old computer.
(product and help aftermarket#positive),I can't say enough of how satisfied I am with their product and help aftermarket.
,My computer was one of the best in the school compared to my fellow classmates.
,I bought for my son in the 2nd grade.
,This has happened three times so far.
,"   I'm a professional consultant, and a client needed work on her machine."
,compresses itself and you can't use it.
(Microsoft word#negative),Microsoft word was not on it andI had to buy it seperately.
(usb ports#neutral)(sd memory card reader#neutral)(sd memory car expansion#neutral),"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion."
,"Who knows what will happen later on when they dismantle the whole damn thing?  So, I said I wanted a new set."
(LaCie 2Big external drive#neutral)(firewire 800 interface#positive)(Time Machine#neutral),"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine."
,"If you already own a 2009, 2010, or early 2011 model, you should wait until the next update."
(sound#negative),"My Toshiba did not have sound on everything, just certain things."
(extra features#positive)(windows 7 home premium#positive),"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium."
,"So, I must say I am not a happy camper."
,"-Called MacHouse Amsterdam to ask for a temporary replacement, no answer."
(Acer screen#negative)(USB port#negative)(boot#negative),The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.
,I bought it during the recent Comex IT show.
(battery life#negative),The battery life was shorter than expected.
(fires up#positive),It fires up in the morning in less than 30 seconds and I have never had any issues with it freezing.
,It doesnt overheat or make any loud noises.
,Look up recipes and keep it on the kitchen counter while I cook.
(keyboard#positive),The keyboard is top notch.
,Do you think the shop will give me a new set?? It will NOT!
,I have had nothing but problems since the day I took it out of the box!
,My Macbook was worth (after 3 years of use!) $375.
(software#negative),It drives me crazy when I want to download a game or something of that nature and I can't play it because its not compatable with the software.
(online tutorial videos#positive),The online tutorial videos make it super easy to learn if you have always used a PC.
,Bought this gateway M-50 or 150 early 2007.
(image#positive)(soud#positive),"The image is great, and the soud is excelent."
(windows#negative)(boot up#negative)(shut down#negative)(windows#negative),With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.
(Mac OS#positive)(use#positive),It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.
,"This netbook is a perfect supplementary computer to another laptop or desktop (my wife and I have another laptop), or if you are a user who uses the computer for simple tasks."
,"With all the goodies inside this machine, it is a value."
,I took it back for a full refund.
(cost#positive),"It is well worth the money it cost, Very good investment."
(Windows 7 Starter#neutral)(Windows 7 Home Premium#neutral)(Windows 7 Professional#neutral),"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;"
(specifications#positive),This computer had exactly the specifications I needed.
,"Overall, still a very nice machine."
,"Where you click and hold and drag it picture, link, etc to where you want it."
(power cords#neutral),My kids (and dogs) destroyed two power cords by pulling on them.
(multi-touch features#positive),"I had upgraded my old MacBook to Lion, so I kind of knew what I was getting, but hadn't been able to enjoy some of the awesome new multi-touch features."
,I had this computer for one month and had to send it in for repair.
(screen#negative)(clicking buttons#negative),"The screen is a little glary, and I hated the clicking buttons, but I got used to them."
(battery life#positive),"Not to mention, the battery life is absolutely amazing."
,"I realize that not every unit has this issue, but the ones that do cannot be repaired."
,I have had a Mac for 6 years and won't go back to PC.
,i love to use it it is esay and light.
(Windows#negative),Windows also shuts the computer down for no reason without warning.
(wired lan#neutral),not using wired lan not sure what thats about.
,After about another month I had to send it in AGAIN to Acer for repairs.
(hard reboot#conflict),The macbook rarely requires a hard reboot.
,I LOVE it!
,The #1 reason that is always repeated.
(hardware#negative),Now for the hardware problems.
,"Unfortunately, that is not the case."
(hard drive#negative),Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.
(battery life#positive),It's fast and has excellent battery life.
,It's face and depanable.
,No Viruses!
,"I'm just really happy that I waited to buy, because this thing kicks a$$!"
,"  The Hewitt Packard Pavillion dv6700 was my first laptop, before this I had a Dell desktop that I loved."
(Apple care#neutral),Apple care included.
,It was an all around waste of money for me.
,I worked in IT retail sales before.
(font#negative)(Features#negative),Features like the font are very block-like and old school.
,It has everything you need to get the job done.
(programs#negative)(run#negative),"It is loaded with programs that is of no good for the average user, that makes it run way to slow."
(plastic pieces#negative),"I feel that it was poorly put together, because once in a while different plastic pieces would come off of it."
,it cant fuction well with lots of webpages open at once.
(2GB RAM stick#neutral),"Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time."
,This laptop has left me with a HORRIBLE taste in my mouth for Acer brand products.
,its not bad just VERY VERY annoying.
,"Well, maybe more like week one."
(Windows#negative),Windows is also rather unsteady on its feet and is susceptible to many bugs.
(Microsoft Word for Mac#neutral),"After sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish, I broke down and spent another $100 to get Microsoft Word for Mac."
,"I believe I purchased this in Dec 09 for my primary work laptop which is used 5-10 hours a day, 4-6 days a week."
(WARRANTY COMPANY#negative),DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.
(cusromer service center#negative),then on top of it all their cusromer service center is in the middle east.
(size#negative)(weight#negative),The only bad part is the size/weight.
(battery#negative),The little battery that it did have would only last about an hour while just having it on the desktop.
(aluminum body#positive),I liked the aluminum body.
,also it is light weight compared to others.
(watching movies#positive)(playing#positive),Its good for playing my apps on Facebook or watching movies.
(build quality#negative)(performance#negative),"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple."
(dock#positive)(program#neutral)(program#positive),"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file."
,"Sorry, newegg."
,Be safe buy a Sony.
(working#negative),pretty much everything else about the computer is good it just stops working out of no were.
,Originally bought it for my wife.
(costing#positive),It was truly a great computer costing less than one thousand bucks before tax.
(price#positive)(i7#positive),"Waiting for the i7 was well worth it, great value for the price."
,I bought this laptop on Saturday and am completely in love with it!
,"I  asked how they would determine that since there are no scratches, dents  or other signs of damage and was told that was the only way this type of  damage could happen."
(monitor#negative),"Now,,,,,my monitor has been acting up for about 2 months."
(extended warranty#negative),"Also, the extended warranty was a problem."
(Boots up#positive)(runs#positive),Boots up fast and runs great!
(screen#positive),Lightweight and the screen is beautiful!
,"Buy it, love it, and I promise you won't regret it."
(driver#neutral),I needed a driver for my HP and they would not help me with out me paying over $50 for it.
,"If you don't like fingerprints, this might not be the laptop for you."
(tech support#neutral),"Call tech support, standard email the form and fax it back in to us."
,"Just a month and a half or two months ago, my VAIO crashed again."
(work#negative),They sent it back with a huge crack in it and it still didn't work.
(hard drive#negative)," A coupla months later, they change my hard drive."
,I did contact HP and share how unhappy I am.
(twin packing#positive)(functions#positive),"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great."
,"The 13"" MacBook Pro is portable, durable, and very capable."
,I should have spent an extra hundred bucks and got a full sized computer.
,Great overall.
,My smart phone is faster!
(warranty#negative),They say sorry out of warranty.
,I have full control at all times of what is going on - there is no control+alt+delete business anymore.
(performance#positive)(price#positive),I bought this laptop because of the performance to price ratio.
(BIOS#negative),PC never worked right even after BIOS fixed.
(design#positive)(tech issues#positive),"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues."
,"I have a laptop as my regular computer, but found that disconnecting it and lugging it around was a drag."
,This is my second MacBook.
(size#positive)(space#negative),The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.
(service#positive),The service I received from Toshiba went above and beyond the call of duty.
(memory#negative)(speed#negative)(priced#negative),"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc."
(internet speed#positive),I would recommend it just because of the internet speed probably because thats the only thing i really care about.
,I own other Macs but always find myself navigation to the MacBook Pro to get my work done.
(programs#neutral)(Garageband#neutral)(Photo Booth#neutral)(iPhoto#neutral)(iMovie#neutral)(video-editing#neutral)(movie-making#neutral)(photo management#neutral)(music#neutral)(Pages#neutral)(Numbers#neutral)(Keynote#neutral)(school or office use#neutral),"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc."
,This is my 3rd Apple Laptop and first MacBook Pro.
,I have had this laptop for a few months now and i would say im pretty satisfied.
,The love part of my relationship with this laptop doesn't take very long.
,Not enough time for me to give it 5 stars!
(screen#positive)(colors#positive),The screen shows great colors.
(value#positive)(price#positive)(value#positive),"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%."
,That's a huge difference.
,"Dells are ok, HPs aren't that good, but Macs or Fantastic."
,"  So, buyers beware!"
,I am totally satisfied with my little toshie!
(web cam#neutral)(burn cd's#neutral),"I have no idea how to burn cd's or to use the web cam, just for starters."
,"Again, I sent it off to Acer, by this time they were paying for me to send it to them and everything, but it was still inconvienent because of my classes and my communication with my fiance."
,DEFINITELY recommended!!!
,It is extremely user friendly and intuitive.
,Let me start with the good:So awesome.
,I had finally reached my limit and broke down.
(17 inch screen#negative),"The 17 inch screen is very large, but the computer is very light."
(support#negative),"  My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge."
,"Do I like the computer? Well, other than not getting viruses, I guess it is OK."
(Bluetooth#neutral)(Drivers/Applications DVD#neutral)(Launch Manager#neutral),"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload."
,I waited and waited and no laptop.
,Everything is falling apart internally and externally.
(glass screen#positive),I also liked the glass screen.
(switchable graphic card#positive)(gaming#neutral),The switchable graphic card is pretty sweet when you want gaming on the laptop.
,"It super shiny, so you can see the fingerprints easily."
(service#negative),"It's not a wear-and-tear issue, not due to user carelessness and most importantly, they CAN'T guarantee the problem will be solved if it is sent for service and I have to accept the outcome."
(battery life#positive),"The battery life has not decreased since I bought it, so i'm thrilled with that."
,Its a dog plain and simple.
(technical support#negative),"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support."
,My HP is very heavy.
(BOOT MGR#neutral),I bought this notebook and only had it for 3 months If it is overload with updates the BOOT MGR.
(recovery cd#negative),Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.
(price#positive)(features#positive),The price and features more than met my needs.
,They refuse.
,big mistake!
,Best Buy was great as always and accepted the return and gave me another model 1764.
,and dell and best buy both refused to take it back after i only had it for 1 hour....
,My friends or children use that when they need to borrow the Net =) When I out grow this Meaning when its old and my oldest child is ready for one she will get this one ANd I will be buying only TOSHIBA!
,"First of all, I've been Dell fan for more than fifteen years."
,GREAT INVESTMENT!
,I am just amazed.
,"I burned my leg, after lifting it from my desk, and for less than 5 second putting it on my lap to clean my coffee table, so I can place it there."
,I thought all my problems would finally be solved being that my old computer wouldn't go onto our wireless network and I wouldn't have the same problems because it was updated.
(Skype#positive),Skype is just so dang cool with this machine too.
,I would buy this lap top over and over again!
(mouse buttons#negative),the mouse buttons are hard to push.
,"I can actually get work done with this MAC, and not fight with it like my tired old PC laptop."
(HDD#positive)(rails#neutral)(hard drive#neutral),"Also, HDD secures inside using rails, and there is only one set on the main hard drive."
,"If you're not wanting to be mobile, this is a good laptop to sit on a desk."
,I also travel with it and it never gives me any problems.
,Just don't waste your time and money on this.
(quality#positive),All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.
(staff#negative),"(Beware, their staff could send you back making you feel that only they know what a computer is."
,"And I'm still paying the bloody financing, for a product which didn't last me at least three years !"
(Games#negative),Games being the main issue.
,"No problems, no lock ups, no disappointments."
,"While the computer seems to be set up in a common sense way rather than in geek-speak, there are certain quirks that can drive you crazy trying to deal with the PC world."
,"I am definitely sold, and not going back to PCs for home use!"
,"I have a lapdesk which I can use, but I can still feel the heat through the foam and plastic."
,and its really cheap and you wont regret buying it.
,It was over rated!
,I dont understand how anyone can think this is a great product worth purchasing.
(GarageBand#neutral),My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.
,I wasn't really sure I wanted to spend that kind of money!
,Other Thoughts: Do not purchase this product.
(warranty#negative)(hard drive#neutral),They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).
(price#negative),and looks very sexyy:D  really the mac book pro is the best laptop specially for students in college if you are not caring about price.
,  I took the computer back in yet again except this time they kept it to send into their Geek Squad headquarters.
,This is a great laptop and I would recommend it to anyone.
,"Thank God for ""ctrl Z""Bottom line, I've been using laptops since the mid 90s and probably the majority of brands out there."
,They definitely have a superior product!
(home use#positive)(business use#positive),A great computer for light home use and business use.
,Bought it to use mostly for oline classes.
(virus protection#negative)(updates#negative),"Even with virus protection, it always turned off when updates were needed and installed."
(MS Office apps#negative),"Also consider the MS Office apps are all trial versions, hope you have your own copies."
,"They are wonderful, but very dangerous when it comes to emitting heat."
,This computer was awful!
,"Heck, if I had enough ' money, I would but it as a gift for someone."
(feature#positive)(Windows#positive)(games#neutral),"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows."
(battery life#positive),The battery life is amazingly long at 7hrs and 5hrs if you use it.
,My previous purchases were with Dell and HP.
,I have not have any problems.
,I purchased an HP right after my high school graduation.
,Me and my boyfriend bought the Gateway NV78 in nov of 09.
,It is very user friendly and not hard to figure out at all.
(battery life#positive),"lightweight, long battery life, excellent transition from PC;"
(price#positive),The price is another driving influence that made me purchase this laptop.
(Nortons virus scan#negative),The Nortons virus scan is only for a very short time unlike others that usually are good for a year.
(frame#positive),It is stamped and not in pieces therefore it is a stronger more resilient frame.
(features#positive)(use#positive),I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.
,"Two, owning a 17 in.mac book gives the flexibility to sit anywhere you want without worry about bother anyone."
,Sent unit back and it's been two months.
(loaded#positive),Came fully loaded - good.
(Windows 7#neutral)(Vista#neutral)(Vista#negative)(windows#neutral),"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system."
(Windows XP#conflict)(Vista#neutral),"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista."
,(I definatly can't).
,"Files as well would become lost, deleted or corrupted."
,It is meant to be PORTABLE.
,My laptop worked again for just a while before I started having issues AGAIN.
,This is perfect for her field.
,taking it back less than 24 hours of purchase
,That's the downside for me.
(key broad#negative),"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is."
,Hopefully Amazon will take this back.
,  They ended up keeping my computer for almost 3 months!
"(warranty#negative)(repair ""depot""#negative)","I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered."
(school use#neutral),  But I needed a laptop for school use.
,he can't stand it.
,The computer was delivered as promised.
(design#negative),This is the complete opposite to an ergonomic design.
(battery life#neutral),I would like at least a 4 hr. battery life.
(programs#negative),The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.
,"Looking online, many people are having the same problem."
(Wireless#positive),"Wireless has not been a issue for me, like some others have meantioned."
,THIS IS MY SECOND MAC BOOK PRO.
(battery life#negative)(programs#negative),"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede."
(trackpad#positive)(programs#positive)(navigating#positive),"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier."
(speakers#positive)(subwoofer#positive),I guess the only good thing that came out of these were the speakers and the subwoofer.
(built in camera#positive),Theres a built in camera with special effects- for video and photography.
(price#positive),All for such a great price.
,I went right out and purchased another laptop.
(warranty#neutral),"  Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in."
,I am able to play 720p and 1080p media files just fine with it.
,"I already own an iPhone, and so the move just made more sense."
,So think about factoring those things in when you purchase.
,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.
,Everything was up and running within 15 minutes of unboxing.
,"This computer gets very hot, before shutting down."
(left mouse key#negative)(costed#neutral),Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.
, Went silently.
,Satisfy what I paid for it.
,IT IS TRASH!
(speed#positive)(hard drive space#positive),It has good speed and plenty of hard drive space.
(picture#positive),Clear picture on it and everything.
,"Overall though, for the money spent it's a great deal."
,So you don't get frustrated the first few weeks.
(extended warranty#neutral)(extended warranties#neutral),"They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore."
,It's so useable and responsive.
,It is truly a Desktop Replacement.
,I only used it to browse the internet and and I dont know how many times it has spontaniously shut down and it is just a blank screen now.
,"A little pricey but it is well, well worth it."
(battery#positive),Very long-life battery (up to 10-11 hours depending on how you configure power level settings).
(Screen#positive)(battery life#positive),"Screen is awesome, battery life is good."
(appearance#positive),The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.
,In my opinion it was not as user friendly as I expected either.
(technical service for dell#negative),The technical service for dell is so 3rd world it might as well not even bother.
(graphics#negative)(warranty#negative),The graphics were awful and the warranty isn't even worth the cheap payment on the computer.
,and if u did.
,"I've had the MacBook Pro 15 for about three weeks, and it really is a great computer."
(battery#negative),"They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die."
,It was definelty a smart move.
,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.
,Apparently they are defective since they are not securely attached.
,but other then that I would give this product a 4 in hafe stars.
,Sure hope Best Buy will replace it asap.
,I babyed the heck out of it and i still do.
,Handles all my basic media needs easily.
,Just what the doctor ordered.
(case#positive),"If you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, I bought the white one from Best Buy."
,The reaction of Toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.
(performance#neutral)(price#positive)(look#positive)(applications#positive),"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac."
(speed#positive),Excellent speed for processing data.
,"All in all, I'm incredibly dissatisfied with this laptop, and with HP as a whole."
,I am not happy at all with the product I purchased.
(tech support#negative),When you call tech support you were routed to someone who was in another country and did not know what they were doing.
(gaming#positive)(use#positive),"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming."
(Photoshop#positive),I was taught to use Photoshop and was amazed.
,It's A MAC!!
,It was weird.
,I can hardly wait to see whats around the next corner.
,the apple pro notebook will not let you down.
,"I did a review on it, its awesome."
,"  Before we got this laptop, had a compaq pasaro for 5 years with no problems."
,I tried out another Mac for a few months before buying this one and it is a great machine.
(system clock#negative),Somehow the system clock got messed up after reboot.
(RAM#negative),"the only problem is that i had to add 1 gb RAM, the computer was kinda slow."
(securitysoftware#positive),With the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.
,The computer could have been shipped by Priority Mail through the USPS for the same cost and arrived by Noon on Tue.
,I visited the Apple Store and was impressed with the 17-inch MacBook Pro.
(driver updates#negative),"The driver updates don't fix the issue, very frustrating."
(Windows#negative),I will never go back to Windows!
,Do your research on this issue.
,"Looking to take my video and photo editing to the next level, I decided to purchase the MBP 15in Intel Core i5 after reading consumer reviews as well as professional reviews of this laptop."
(work#negative),It doesnt work worth a damn.
,"HP Pavilion DV9000 Notebook PC      When I first got this computer, it really rocked."
(works#positive),It works really well.
,It has happened again and I'm being told that it's $175.
(HD#positive)(HD#positive)(graphics card#positive),"Bigger HD, better graphics card, and a bid HD."
,Lord HAVE MERCY!
(built in camera#positive),The built in camera is very useful when chatting with other techs in remote buildings on our campus.
,No big deal.
(DVD burner#negative),"Mine came at $1,700 w/o a DVD burner (!)."
(DVD burner#negative),The DVD burner broke after burning 3 DVD'd during that time!
(works#positive),It works fine with our wireless and they've had not problems.
(15 inch#positive),But you must get the 15 inch.
,i will be returning it and switching brands when i get to best buy.
(Product support#negative),Product support very poor as each phone call costs me long distan
(screen#positive)(use#positive),"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves."
(casing of the power cord#negative),  The casing of the power cord fried and shocked my husband when he pulled it out of the socket.
(internet signals#negative),It does not keep internet signals no matter where you bring it.
,apple is one of the best computer companies in the country.
,PLEASE MAKE THESE!
,Frustrated I hung up and tried to call back 3 days later to be told that it takes 2-3 days for turnaround time.
,"After the first few months, the computer started crashing about every week."
,"My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school."
(price#positive),It's a great product for a great price!
(right speaker#negative),"Again, the same problem, the right speaker did not work."
(price tag#conflict)(software#positive)(updates#positive),But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.
,"Before i bought my new i5, I did my research for about 2 weeks and determined to move for HP to Apple for reliability, dependable, and long lasting operations."
,Dell wanted to charge us for everything everytime I called them with a problem.
,THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT.
,i have had my dell latitude for almost three years.
,May be better for the occasional web surfer.
(multiple page viewer#positive),and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.
(shipped#negative),This was the 3rd day and part still had not been shipped.
,Obviously we both got new Macs.
,"My Iphone synced right up just like a person would expect, unlike the PCs in our lives."
,That being said after 2 weeks of owning every time I start it up now it gives me a black screen for 5-8 seconds stating pxe-e61 media test error check cable.
,"It's fun to take to a bookstore, sit in the coffee shop area, sign in to WiFi and look up book reviews of books I might buy."
,"Not super fancy, but not super expensive either."
(Keyboard#positive)(use#positive),Keyboard good sized and wasy to use.
(warranty#neutral),HP said it was out of warranty.
,"-Stay away from Apple, or hope you laptop does not break down."
,It's a great prodcut to handle basic computing needs.
(quality#negative),"I never had this kind of quality issue with Dell (not to say Dell is that great), not with a brand new laptop."
(features#positive),wonderful features.
,the laptop was really good and it goes really fast just the way i thought it would of run.
(recovery disk#negative),I had to call HP and ask for a recovery disk because the computer does not come with one and completely redo it all.
(features#positive),Im glad that it has such great features in it.
,it's just a great toy to have around.
(programs#positive)(Office#negative)(Office programs#neutral),I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.
(wifi#positive),Great wifi too.
(TYPING#negative),"WHEN TYPING, LETTERS AND SPACES ARE FREQUENTLY OMITTED REQUIRING THE USER TO REDO MANY WORDS AND SENTENCES."
(screen#negative),"  Only a few days after I received the computer back, the screen froze again."
(temp#negative),It is not ideal for children because of the temp.
,"sounds like a typewriter, but if you can get past that, this is a great laptop for a little money!"
,  When this happened I would have to completely power off my computer and restart it.
(Windows operating system#negative),Although i do believe that Windows operating system may be to fault for some of the problems.
(OS#positive)(processor speed#positive)(thunderbolt port#positive),"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port."
,I or my dad paid over twenty four hundred dollars for everything.
(lcd screen#negative),  The lcd screen stopped working on mine after 10 months.
,That includes transferring my music and movies.
(Images#positive),Images are crisp and clean.
,"Took that one home, same thing."
,I'm going back to PC.
,"Great, quick laptop for the money."
(windows vista#negative)(windows xp#positive),although its windows vista compared to windows xp sucks.
(Vista#negative)(Adobe Flash player#negative)(Internet Explore#negative)(Windows update#negative)(update#negative),"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update."
,The Dell mini was the first Dell product that I had ever purchased.
(switch#negative)(switch#negative),with the switch being at the top you need to memorize the key combination rather than just flicking a switch.
,My Mac has gone from being a trusted friend to an adversary.
(4GB stick of RAM#positive),"One more tip, please purchase this model and get a 4GB stick of RAM to save you $10"
,"By week two, my laptop had overheated and was completely dead even though I did not use it too much."
,And it is impossible to get them back in.
,My last laptop gave me a constant battle even though it was also completely new.
,I have been a mac user since the mid 90s.
(hardrive#negative)(touch control buttons#negative)(keyboard#negative),It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!
,  After the bad experience with this computer went back to compaq.
,Finally after months of research the discovered that they mailed it to a Walmart and there probably would be no way to find the box.
,It doesn't heat up like my old laptop.
(performance#positive),I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.
,It's solid.
,"Before I got my macbook, I owned a Dell laptop."
,This laptop is the most amazing little peice of machinery I have owned outside of the Iphone.
(iLife software#positive)(iPhoto#positive)(iMovie#positive)(iWeb#positive)(iTunes#positive)(GarageBand#positive)(runs#positive),"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well."
(system board#negative),At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.
(size#neutral)(software#neutral)(hardware#neutral),"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find."
,I don't know how I could ever live without my Qousmio.
(memory#positive)(hard drive#positive)(graphics#positive),"It has plenty of memory, lots of hard drive, and great graphics."
(programs#positive)(navigation#positive),It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.
,"  It lasted for many years of travel, kids and abuse and if I fired it up today, it would work."
,"been a PC user for many, many years."
,"I have never had any issues or problems with my MacBook Pro so far, and it is still as fast as it was when I first bought it."
,"It freezes, and it always shows that there is an error, so I have to restart it a few times every time I use it."
(hinge#negative)(LCD#neutral),"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD)."
(DELL Customer Service#negative),My problem was with DELL Customer Service.
,"There are so many things wrong with this product, it just makes me want to set my self on fire!"
,"It is not even a year old yet, so I would definitely not recommend it to anyone."
,Amazing machine.
,"I don't do any high tech stuff on it, just write papers, check mail, and sometimes play games, so I can't reccomend it if you are in the computer field."
(RMA service#positive),"Newegg's RMA service was great as always, I contacted them late Friday night, and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday."
,I'm very impressed.
,Dell sucks
(Design#positive),Design: very durable.
(keyboard#neutral),It is easy to go from one keyboard to another.
,I spoke to 4 different people and was told they needed to transfer me to a 5th person!
,The Mac Book Pro performs flawlessly.
(battery life#neutral),Has a 5-6 hour battery life.
(screen/video resolution#negative)(resolution#negative),My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60
